"lang"
{
    "Language"      "Russian"
        "DOTA_Tooltip_modifier_tether_slow_aghanims_Description"                          "Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, а скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_modifier_spirits_caster_aghanims"                                   "Духи"
        "DOTA_Tooltip_modifier_spirits_caster_aghanims_Description"                       "Окружен союзными героями."

        "DOTA_Tooltip_modifier_spirits_spirit_aghanims"                                   "Дух"
        "DOTA_Tooltip_modifier_spirits_spirit_aghanims_Description"                       "Часть Wisp."

        "DOTA_Tooltip_modifier_overcharge_buff_aghanims"                                  "Под действием Overcharge"
        "DOTA_Tooltip_modifier_overcharge_buff_aghanims_Description"                      "Скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%, получаемый урон снижен на %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%."

        "DOTA_Tooltip_modifier_relocate_channel_aghanims"                                 "Телепортируется"
        "DOTA_Tooltip_modifier_relocate_channel_aghanims_Description"                     "Телепортирует себя и связанных собзников в точку."

        "DOTA_Tooltip_modifier_relocate_return_aghanims"                                  "Возвращение"
        "DOTA_Tooltip_modifier_relocate_return_aghanims_Description"                      "Вернется в прежнее место спустя некоторое время."

        "DOTA_Tooltip_modifier_skeleton_king_reincarnation_ally"                          "Skeleton King Reincarnation Ally"
        "DOTA_Tooltip_modifier_skeleton_king_reincarnation_ally_Description"              "Реинкарнируется eсли погибнет"

        "DOTA_Tooltip_modifier_skeleton_king_reincarnation_cooldown"                      "Перезарядка Reincarnation"
        "DOTA_Tooltip_modifier_skeleton_king_reincarnation_cooldown_Description"          "Reincarnation перезаряжается."

        "DOTA_Tooltip_modifier_skeleton_king_reincarnation_slow"                          "Reincarnate"
        "DOTA_Tooltip_modifier_skeleton_king_reincarnation_slow_Description"              "Под действием способности Reincarnation у Wraith King. Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%."

        "DOTA_Tooltip_modifier_crystal_maiden_glacier_tranqulity_buff"                    "Glacier Tranqulity"
        "DOTA_Tooltip_modifier_crystal_maiden_glacier_tranqulity_buff_Description"        "Не получает и не наносит урон."

        "DOTA_Tooltip_modifier_crystal_maiden_glacier_tranqulity_debuff"                  "Glacier Tranqulity"
        "DOTA_Tooltip_modifier_crystal_maiden_glacier_tranqulity_debuff_Description"      "Не получает и не наносит урон."

        "DOTA_Tooltip_modifier_breathe_fire_arena_debuff"                                 "Breathe Debuff"
        "DOTA_Tooltip_modifier_breathe_fire_arena_debuff_Description"                     "ВЫ ГОРИТЕ! Вы промахиваетесь в %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% атак, базовый урон уменьшен на %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%, скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, периодически получает урон."

        "DOTA_Tooltip_modifier_dragon_blood_arena_disarm_enemy"                           "Обезоружен"
        "DOTA_Tooltip_modifier_dragon_blood_arena_disarm_enemy_Description"               "Обезоружен способностью Dragon Blood, не может атаковать."

        "DOTA_Tooltip_modifier_dragon_knight_elder_dragon_form_arena_poison"              "Poison"
        "DOTA_Tooltip_modifier_dragon_knight_elder_dragon_form_arena_poison_Description"  "Вы периодически получаете урон."

        "DOTA_Tooltip_modifier_dragon_knight_elder_dragon_form_arena_cold"                "Cold"
        "DOTA_Tooltip_modifier_dragon_knight_elder_dragon_form_arena_cold_Description"    "Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%, периодически получает урон основанный на максимальном здоровье."

        "DOTA_Tooltip_modifier_dragon_knight_elder_dragon_form_arena_breath"              "Frostfire Breath"
        "DOTA_Tooltip_modifier_dragon_knight_elder_dragon_form_arena_breath_Description"  "Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

        "DOTA_Tooltip_modifier_dragon_knight_elder_dragon_form_arena_flame_debuff_tooltip"      "Flame"
        "DOTA_Tooltip_modifier_dragon_knight_elder_dragon_form_arena_flame_debuff_tooltip_Description"      "ВЫ ГОРИТЕ! Вам периодически наносится урон."

        "DOTA_Tooltip_modifier_crystal_nova_slow_arena"                                   "Crystal Nova"
        "DOTA_Tooltip_modifier_crystal_nova_slow_arena_Description"                       "Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_modifier_frost_bite_root_arena"                                     "Frostbite"
        "DOTA_Tooltip_modifier_frost_bite_root_arena_Description"                         "Не может ни двигаться, ни атаковать. Получает урон каждые полсекунды."

        "DOTA_Tooltip_modifier_frost_bite_root_arena_aura_effect"                         "Frostbite slow"
        "DOTA_Tooltip_modifier_frost_bite_root_arena_aura_effect_Description"             "Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_modifier_crystal_maiden_brilliance_aura_caster_arena"               "Brilliance Aura"
        "DOTA_Tooltip_modifier_crystal_maiden_brilliance_aura_caster_arena_Description"   "Увеличивает восстановление маны на %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT%, интеллект на %dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS% и скорость предвижения на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

        "DOTA_Tooltip_modifier_crystal_maiden_brilliance_aura_effect_arena"               "Brilliance Aura"
        "DOTA_Tooltip_modifier_crystal_maiden_brilliance_aura_effect_arena_Description"   "Увеличивает восстановление маны на %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT%, интеллект на %dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS% и скорость предвижения на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

        "DOTA_Tooltip_modifier_freezing_field_debuff_arena"                               "Freezing Field Slow"
        "DOTA_Tooltip_modifier_freezing_field_debuff_arena_Description"                   "Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_modifier_freezing_field_debuff_scepter_arena"                       "Freezing Field Slow"
        "DOTA_Tooltip_modifier_freezing_field_debuff_scepter_arena_Description"           "Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_modifier_time_walk_backtrack_increased_arena"                       "Enchanted Backtrack"
        "DOTA_Tooltip_modifier_time_walk_backtrack_increased_arena_Description"           "Шанс на Backtrack повышен."

        "DOTA_Tooltip_modifier_time_dilation_cooldown_freeze"                             "Time Dilation Slow"
        "DOTA_Tooltip_modifier_time_dilation_cooldown_freeze_Description"                 "Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, а скорость атаки — на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_modifier_time_lock_stun_arena"                                      "Time Lock"
        "DOTA_Tooltip_modifier_time_lock_stun_arena_Description"                          "Faceless Void заморозил вас во времени!"

        "DOTA_Tooltip_modifier_faceless_void_time_freeze_tooltip"                         "Time Freeze"
        "DOTA_Tooltip_modifier_faceless_void_time_freeze_tooltip_Description"             "Заперт во временном пространстве. Не может двигаться и действовать."

        "DOTA_Tooltip_modifier_flak_cannon_arena"                                         "Flak Cannon"
        "DOTA_Tooltip_modifier_flak_cannon_arena_Description"                             "Атакует все близлежащие цели, наносит дополнительный магический урон."

        "DOTA_Tooltip_modifier_cherub_sleep_cloud_timer"                                  "Sleep Cloud"
        "DOTA_Tooltip_modifier_cherub_sleep_cloud_timer_Description"                      "Заснёт, если останится здесь."

        "DOTA_Tooltip_modifier_cherub_sleep_cloud_sleep"                                  "Sleep Cloud Sleeping"
        "DOTA_Tooltip_modifier_cherub_sleep_cloud_sleep_Description"                      "Спит. Проснётся, если получит достаточно урона."

        "DOTA_Tooltip_modifier_cherub_flower_yellow_daisy_enabled_aura_effect"            "Yellow Daisy"
        "DOTA_Tooltip_modifier_cherub_flower_yellow_daisy_enabled_aura_effect_Description"      "Скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_modifier_cherub_flower_purple_lotus_enabled_aura_effect"            "Purple Lotus"
        "DOTA_Tooltip_modifier_cherub_flower_purple_lotus_enabled_aura_effect_Description"      "Сопротивление магии уменьшено на %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%."

        "DOTA_Tooltip_modifier_cherub_flower_garden_barrier"                              "Thorny Barrier"
        "DOTA_Tooltip_modifier_cherub_flower_garden_barrier_Description"                  "Находится под шипастым барьером и вовзращает магический урон, когда атакуют."

        "DOTA_Tooltip_modifier_omniknight_guardian_angel_lua"                             "Guardian Angel"
        "DOTA_Tooltip_modifier_omniknight_guardian_angel_lua_Description"                 "Невосприимчив к физическому урону."

        "DOTA_Tooltip_modifier_omniknight_guardian_angel_inverse_lua"                     "Inverse Guardian Angel"
        "DOTA_Tooltip_modifier_omniknight_guardian_angel_inverse_lua_Description"         "Броня снижена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

        "DOTA_Tooltip_modifier_omniknight_repel_lua"                                      "Repel"
        "DOTA_Tooltip_modifier_omniknight_repel_lua_Description"                          "Невосприимчив к заклинаниям."

        "DOTA_Tooltip_modifier_omniknight_repel_inverse_lua"                              "Inverse Repel"
        "DOTA_Tooltip_modifier_omniknight_repel_inverse_lua_Description"                  "Магический урон увеличен на %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%."

        "DOTA_Tooltip_modifier_omniknight_select_allies"                                  "Select: Allies"
        "DOTA_Tooltip_modifier_omniknight_select_allies_Description"                      "Все способности будут использованы на всех живых союзников."

        "DOTA_Tooltip_modifier_omniknight_select_enemies"                                 "Select: Enemies"
        "DOTA_Tooltip_modifier_omniknight_select_enemies_Description"                     "Все способности будут использованы на всех живых противников."

        "DOTA_Tooltip_modifier_queenofblades_darkness_aura_debuff"                        "Darkness Aura"
        "DOTA_Tooltip_modifier_queenofblades_darkness_aura_debuff_Description"            "Радиус видимости снижен на %dMODIFIER_PROPERTY_BONUS_DAY_VISION%, скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%."

        "DOTA_Tooltip_modifier_queenofblades_alter_ego_chains"                            "Chains"
        "DOTA_Tooltip_modifier_queenofblades_alter_ego_chains_Description"                "Пойман в сеть, не может двигаться и телепортироваться."

        "DOTA_Tooltip_modifier_queenofblades_alter_ego_discharge"                         "Discharge"
        "DOTA_Tooltip_modifier_queenofblades_alter_ego_discharge_Description"             "Скорость атаки союзников увеличена."

        "DOTA_Tooltip_modifier_queenofblades_alter_ego_discharge_effect"                  "Discharge"
        "DOTA_Tooltip_modifier_queenofblades_alter_ego_discharge_effect_Description"      "Скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%"

        "DOTA_Tooltip_modifier_kadash_strike_from_shadows_fade"                           "Strike From Shadows"
        "DOTA_Tooltip_modifier_kadash_strike_from_shadows_fade_Description"               "Невидим. Первая атака может быть сделана с +%dMODIFIER_PROPERTY_ATTACK_RANGE_BONUS% радиуса атаки и нанесёт магический урон."

        "DOTA_Tooltip_modifier_kadash_strike_from_shadows"                                "Strike From Shadows"
        "DOTA_Tooltip_modifier_kadash_strike_from_shadows_Description"                    "Невидим. Первая атака может быть сделана с +%dMODIFIER_PROPERTY_ATTACK_RANGE_BONUS% радиуса атаки и нанесёт магический урон."

        "DOTA_Tooltip_modifier_kadash_strike_from_shadows_debuff"                         "Strike From Shadows"
        "DOTA_Tooltip_modifier_kadash_strike_from_shadows_debuff_Description"             "Броня уменьшена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

        "DOTA_Tooltip_modifier_kadash_immortality_health_penalty"                         "Immortality"
        "DOTA_Tooltip_modifier_kadash_immortality_health_penalty_Description"             "Максимальное здоровье уменьшено."

        // ******************** ITEM MODIFIERS ********************
        "DOTA_Tooltip_modifier_item_sange_arena_lesser_maim"                                    "Lesser Maim"
        "DOTA_Tooltip_modifier_item_sange_arena_lesser_maim_Description"                        "Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_modifier_yasha_arena_fast_attack"                                         "Fast Attack"
        "DOTA_Tooltip_modifier_yasha_arena_fast_attack_Description"                             "Скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_modifier_item_sange_lesser_maim"                                          "Lesser Maim"
        "DOTA_Tooltip_modifier_item_sange_lesser_maim_Description"                              "Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_modifier_item_yasha_arena_fast_attack"                                    "Fast Attack"
        "DOTA_Tooltip_modifier_item_yasha_arena_fast_attack_Description"                        "Скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_modifier_item_sange_and_yasha_lesser_maim"                          "Lesser Maim"
        "DOTA_Tooltip_modifier_item_sange_and_yasha_lesser_maim_Description"              "Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_modifier_item_sange_and_yasha_fast_attack"                          "Fast Attack"
        "DOTA_Tooltip_modifier_item_sange_and_yasha_fast_attack_Description"              "Скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_modifier_item_nightshadow_and_sange_lesser_maim"                    "Maim"
        "DOTA_Tooltip_modifier_item_nightshadow_and_sange_lesser_maim_Description"        "Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_modifier_item_nightshadow_and_yasha_fast_attack"                    "Fast Attack"
        "DOTA_Tooltip_modifier_item_nightshadow_and_yasha_fast_attack_Description"        "Скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_modifier_item_three_spirits_blades_lesser_maim"                     "Maim"
        "DOTA_Tooltip_modifier_item_three_spirits_blades_lesser_maim_Description"         "Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_modifier_item_three_spirits_blades_fast_attack"                     "Fast Attack"
        "DOTA_Tooltip_modifier_item_three_spirits_blades_fast_attack_Description"         "Скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_modifier_item_splitshot_str_lesser_maim"                            "Maim"
        "DOTA_Tooltip_modifier_item_splitshot_str_lesser_maim_Description"                "Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_modifier_item_splitshot_agi_fast_attack"                            "Fast Attack"
        "DOTA_Tooltip_modifier_item_splitshot_agi_fast_attack_Description"                "Скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_modifier_item_splitshot_ultimate_lesser_maim"                       "Greater Maim"
        "DOTA_Tooltip_modifier_item_splitshot_ultimate_lesser_maim_Description"           "Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_modifier_item_splitshot_ultimate_fast_attack"                       "Fast Attack"
        "DOTA_Tooltip_modifier_item_splitshot_ultimate_fast_attack_Description"           "Скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

        "DOTA_Tooltip_modifier_item_heart_cyclone_regen_cooldown"                         "Перезарядка Регенерации"
        "DOTA_Tooltip_modifier_item_heart_cyclone_regen_cooldown_Description"             "Регенерация от Tarrasque's Scepter of Divinity перезаряжается."

        "DOTA_Tooltip_modifier_item_heart_cyclone_active_regen"                           "Tarrasque's Scepter of Divinity Shift"
        "DOTA_Tooltip_modifier_item_heart_cyclone_active_regen_Description"               "Временно неуязвим и регенерирует проценты от максимального здоровья."

        "DOTA_Tooltip_modifier_item_heart_cyclone_active_damage"                          "Tarrasque's Scepter of Divinity Enemy Shift"
        "DOTA_Tooltip_modifier_item_heart_cyclone_active_damage_Description"              "Временно неуязвим от всего урона. Также теряет проценты от максимального здоровья каждую секунду."

